Done,id_post,right_addres,post_score
Василина,29193,"Малый пр. П.С., 4",3
Василина,28341,"Авиагородок, улица Пилотов, 25, к.1",8.5
Василина,27880,"Железноводская ул., 68, корп. 1",8
Василина,27286,ул. Розенштейна,6.5
Василина,26955,"Красное село,пр. Ленина, 61/2",1
Василина,26292,ул. Большая Разночинная 24,6
Василина,25583,"Балтийская ул., д. 36",8
Василина,25105,Науки 44,2
Василина,24557,Павловский вокзал,8
Василина,24224,"Политехническая, 20/9",6.5
Василина,23617,"Александровский парк, 4, к. 3",5
Василина,22936,"Пушкин, Ул. Парковая 26а",7
Василина,22674,"Лиговский пр., 30 А",2.5
Василина,22106,ул. Есенина,8
Василина,21793,Уральская/пр. Кима,7
Василина,21361,"пос. Понтонный, ул Александра Товпеко",2
Василина,20760,"пр. Науки, д. 14б",8.5
Василина,19501,Енотаевская 13,2
Василина,18495,Энергетиков 70Б к.2,7.5
Василина,16180,Думская/Ломоносова,6
Василина,12765,Парголовская 9,8
Василина,9734,"Лиговский проспект, д.50",5
Руслан Е.,39768,"Щербаков переулок, 12",7
Руслан Е.,39619,"Науки проспект, 14Б",7.5
Руслан Е.,39574,"Разводная, 29",7.5
Руслан Е.,39385,"Ленсовета, 87 к1",7
Руслан Е.,39363,"Есенина, 12 к1",7
Руслан Е.,39298,"Щербаков переулок, 12",7.5
Руслан Е.,39229,"Большая Зеленина, 1",3
Руслан Е.,39163,"Энтузиастов проспект, 33 к1 лит А",8
Руслан Е.,38954,"Лиговский проспект, 11",7
Руслан Е.,38940,"Композиторов, 31а",6.5
Руслан Е.,38901,"Науки проспект, 21в",NA
Руслан Е.,38808,"Ленсовета, 87 к1",7
Руслан Е.,38750,"Апраксин переулок, 4",6
Руслан Е.,38679,"Энтузиастов проспект, 33 к1 лит А",7.5
Руслан Е.,38497,"Щербаков переулок, 12",8
Руслан Е.,38464,"Апраксин переулок, 4",6.5
Руслан Е.,38256,"Большая Морская, 13",7.5
Руслан Е.,38209,"Гороховая, 50",8
Руслан Е.,38161,"Садовая, 7-9-11",3
Руслан Е.,37922,"Московский проспект, 51",8
Руслан Е.,37849,"Ленсовета, 87 к1",7.5
Руслан Е.,37787,"Большая Московская, 1",5
Руслан Е.,37727,"Ленинский проспект, 98",5
Руслан Е.,37662,"Энгельса проспект, 154 лит А",4
Руслан Е.,37372,"Садовая, 28/30 к1",8
Руслан Е.,37315,"Афонская, 18а",9
Руслан Е.,37215,"Лиговский проспект, 68",6.5
Руслан Е.,37105,"Заневский проспект, 73",6.5
Руслан Е.,36842,"Невский проспект, 51 лит А",5.5
Руслан Е.,36795,"Садовая, 28/30 к1",8
Руслан Е.,36544,"Энгельса проспект, 111Б",2
Руслан Е.,36190,"Звёздная, 14",8.5
Руслан Е.,36072,"Ветеранов проспект, 78",2
Руслан Е.,35982,"Набережная канала Грибоедова, 26",2.5
Руслан Е.,35580,"Пискарёвский проспект, 20",7
Руслан Е.,34934,"6-я линия В.О., 27",7.5
Руслан Е.,34880,"Апраксин переулок, 4",8.7
Руслан Е.,34825,"Балканская площадь, 5 к1, слева от выхода",7
Руслан Е.,34786,"Жуковского, 11",7
Руслан Е.,34756,"Балканская площадь, 5 к1, справа от выхода",4
Руслан Е.,34590,"Гороховая, 50",8.5
Руслан Е.,34560,"Михаила Дудина, 25 к2",8
Руслан Е.,34476,"Библиотечный переулок, 6",NA
Руслан Е.,34389,"Удельный проспект, 2",8
Руслан Е.,34298,"Орджоникидзе, 22",7.5
Руслан Е.,34218,"Политехническая, 30",4
Руслан Е.,33732,"Бассейная, 65",9
Руслан Е.,33696,"Набережная Чёрной речки, 53",6.5
Руслан Е.,33659,"Большая Московская, 1",4
Руслан Е.,33527,"Рубинштейна, 11",7.5
Руслан Е.,33440,"Стачек проспект, 99",7
Руслан Е.,33309,"Васи Алексеева, 6",6
Руслан Е.,32964,"Кораблестроителей, 48 к2",8.5
Руслан Е.,32803,"Бассейная, 22д",5
Руслан Е.,32747,"Английский проспект, 41",NA
Руслан Е.,32719,"Ветеранов проспект, 53",4
Руслан Е.,32692,"Петергофское шоссе, 3",8.5
Руслан Е.,32645,"Большевиков проспект, 32а",8.5
Руслан Е.,32600,"Чкаловский проспект, 50",5
Руслан Е.,32425,"Фёдора Абрамова, 8",8.5
Руслан Е.,32314,"Лётчика Пилютова, 40",8
Руслан Е.,32253,"Ветеранов проспект, 78",5
Руслан Е.,32208,"Кантемировская, 26Б",8
Руслан Е.,32052,"Заставская, 28",8
Руслан Е.,32012,"Сытнинская площадь, 4",7
Руслан Е.,31885,"Невский проспект, 85",3
