Do,id_post,right_addres,post_score,name
Даня,15570,"Ленсовета, 86а",2,
Даня,39385,"Ленсовета, 87 к1",7,
Даня,38808,"Ленсовета, 87 к1",7,
Даня,37849,"Ленсовета, 87 к1",7.5,
Даня,35601,"Лесной проспект, 1а",5.5,
Даня,13350,"Лесной проспект, 61а к3",9,
Даня,11101,"Лесной проспект, 61а к3",8,
Даня,13882,"Лесной проспект, 61а к3",4,
Даня,32314,"Лётчика Пилютова, 40",8,
Даня,25566,"летчика Пилютова,11 к4",8,
Даня,22674,"Лиговский пр., 30 А",2.5,
Даня,18062,"Лиговский просп., 153",1,
Даня,9731,"Лиговский проспект, 105",5.5,
Даня,12723,"Лиговский проспект, 105",5,
Даня,38954,"Лиговский проспект, 11",7,
Даня,30501,"Лиговский проспект, 161 лит Б",8.5,
Даня,28378,"Лиговский проспект, 161 лит Б",9,
Даня,22584,"Лиговский проспект, 161 лит Б",6.5,
Даня,25051,"Лиговский проспект, 50 к 2",6.5,
Даня,9639,"Лиговский проспект, 50б",10,
Даня,31836,"Лиговский проспект, 65",6,
Даня,16019,"Лиговский проспект, 67",9,
Даня,37215,"Лиговский проспект, 68",6.5,
Даня,30565,"Лиговский проспект, 68",6.5,
Даня,37549,"Лиговский проспект, 74",3,
Даня,10617,"Лиговский проспект, 74",3,
Даня,21521,"Лиговский проспект, 74",5,
Даня,9734,"Лиговский проспект, д.50",5,
Даня,27434,"Литейный проспект, 59",5.2,
Даня,24663,"Литейный проспект, 59",4,
Даня,28476,"Литейный проспект, 64",0.5,
Даня,20349,"Литейный проспект, 64",7,
Даня,21559,"Литейный проспект, 64",3,
Даня,16949,Литейный проспект/Кирочная ул,4,
Даня,22740,"Ломоносов, Победы, 11",5,
Даня,12575,"Ломоносова, 2",5,
Даня,11561,"Ломоносова, 2",8,
Даня,18032,"Ломоносова, 2",8,
Даня,38392,"Луначарского проспект, 17а ",6.5,
Даня,28281,"Луначарского проспект, 64 к3",8,
Даня,29531,"Луначарского проспект, 76к2",9,
Даня,35063,"Луначарского проспект, 76к2",8.5,
Даня,25450,"Луначарского, 64 к3",8.5,
Даня,18544,м. Парк Победы,5.5,
Даня,19106,м.Чернышевская ,8,
Даня,39558,"Малая Бухарестская, 10б",6.5,
Даня,33853,"Малая Бухарестская, 15",9,
Даня,9119,"Малая Морская, 15",8,
Даня,13246,"Малая Посадская, 13 к2",10,
Даня,29193,"Малый пр. П.С., 4",3,
Даня,9815,"Малый проспект Петроградской стороны, 89",8.5,
Даня,14039,"Малый проспект, 57",8,
Даня,13646,"Малый проспект, 57",7.5,
Даня,15020,"Малый проспект., 42",7,
Даня,22109,"Малый проспект., 44/1",5.7,
Никита,27394,"Маршала Жукова проспект, 41",6.5,
Никита,14705,"Маршала Жукова, 41",7,
Никита,27179,"Маршала Захарова, 18 к1",7.5,
Никита,13567,"Маршала Захарова, 34а",8,
Никита,19201,"Маршала Захарова, 42",5,
Никита,18686,"Маршала Казакова, 1",5,
Никита,13604,"Маршала Казакова, 35",8,
Никита,12461,"Маршала Казакова, 35",8,
Никита,31172,"Маршала Казакова, 35",6.5,
Никита,13565,"Маршала Казакова, 35",5,
Никита,28977,"Маршала Казакова, 35",9,
Никита,21641,"Маршала Казакова, 35",9.5,
Никита,32387,"Маршала Казакова, 35 к9 ",9,
Никита,18342,"Маршала Казакова, 35б",6,
Никита,9767,"Маршала Казакова, 36 к1",8.5,
Никита,26311,"Матвеева переулок, 5а",8,
Никита,32670,"Мелитопольский переулок, 4",6.5,
Никита,30155,"Металлистов проспект, 116",6.5,
Никита,37000,"Металлистов проспект, 57",5.5,
Никита,13329,"Михаила Дудина, 15",9,
Никита,34560,"Михаила Дудина, 25 к2",8,
Никита,12800,"Московский пр., 31",8,
Никита,27704,"Московский проспект, 103",6,
Никита,9497,"Московский проспект, 105 к2",8,
Никита,27524,"Московский проспект, 105 к2",8,
Никита,15341,"Московский проспект, 191",9,
Никита,36224,"Московский проспект, 191",8,
Никита,14409,"Московский проспект, 197а",6.5,
Никита,13796,"Московский проспект, 205а ",4,
Никита,18121,"Московский проспект, 216",5,
Никита,11654,"Московский проспект, 216",5,
Никита,24764,"Московский проспект, 23",5,
Никита,10111,"Московский проспект, 23",6,
Никита,38829,"Московский проспект, 23",4,
Никита,23641,"Московский проспект, 40",6.4,
Никита,20427,"Московский проспект, 51",7,
Никита,37922,"Московский проспект, 51",8,
Никита,19229,"Московский проспект, 73",8.5,
Никита,9262,"Моховая, 31",6,
Никита,23287,"Моховая, 31",8,
Никита,19560,"Моховая, 37",7.5,
Никита,13409,"Моховой, 31",8.5,
Никита,18928,"Муринский 2-й проспект, 2 к1",5,
Никита,31117,"Муринский 2-й проспект, 3а",6,
Никита,12129,"Мытнинская, 18",2,
Никита,29878,"Мясная, 28",7,
Никита,26611,"Набережная канала Грибоедова, 24",8,
Никита,13352,"Набережная канала Грибоедова, 26",9,
Никита,35982,"Набережная канала Грибоедова, 26",2.5,
Никита,27851,"Набережная канала Грибоедова, 26",7,
Никита,17313,"Набережная канала Грибоедова, 26а",8,
Никита,20460,"Набережная канала Грибоедова, 26а",9.4,
Никита,21122,"Набережная Обводного канала, 118 лит С",9,
Никита,13509,"Набережная Обводного канала, 122",4,
Никита,26681,"Набережная Обводного канала, 122",6,
Никита,24412,"Набережная Обводного канала, 122в",6,
Никита,26164,"Набережная реки Карповки, 10",1,
Никита,20815,"набережная реки Фонтанки, 59",8,
Никита,33696,"Набережная Чёрной речки, 53",6.5,
Никита,10435,"Нарвский проспект, 31",9,
Никита,10919,"Нарвский проспект, 31",9,
Никита,24533,"Наставников проспект, 24 к1",9,
Никита,25105,Науки 44,2,
Никита,11251,"Науки проспект, 14Б",7.5,
Никита,10124,"Науки проспект, 14Б",9.5,
Никита,19431,"Науки проспект, 14Б",0,
Никита,39619,"Науки проспект, 14Б",7.5,
Никита,20760,"Науки проспект, 14б",8.5,
Никита,11005,"Науки проспект, 1а",4,
Никита,25663,"Науки проспект, 21в",6.5,
Никита,15683,"Науки проспект, 21в",8,
Никита,13857,"Науки проспект, 28А",8,
Никита,12066,"Науки проспект, 28а",8,
Никита,16614,"Науки проспект, 41ж",9,
Никита,29822,"Науки проспект, 44",9,
Никита,33588,"Науки проспект, 45 к2",9,
Никита,13208,"Невский пр-кт, 65",8,
Никита,26919,"Невский проспект, 120",7.5,
Никита,9766,"Невский проспект, 124",1,
Никита,10007,"Невский проспект, 5",8,
Никита,36842,"Невский проспект, 51 лит А",5.5,
Никита,24453,"Невский проспект, 85",7,
Никита,31885,"Невский проспект, 85",3,
Никита,23401,"Невский проспект, 85е",7.4,
Никита,16837,"Невский проспект, 88",6,
Никита,12598,"Некрасова, 58",9.5,
Никита,39652,"Непокорённых проспект, 2",4,
Никита,29698,"Новаторов бульвар, 102 к3",6.5,
Никита,25359,"Новаторов бульвар, 112 к1",8,
Никита,29059,"Новаторов бульвар, 17",4,
Никита,15304,"Новаторов бульвар, 83",6,
Никита,22951,"Новаторов, 71",4.7,
Никита,13712,"Новосмоленская набережная, 1",7,
Никита,11785,"Новочеркасский проспект, 26",7,
Никита,14238,"Новочеркасский проспект, 39/2",4,
Никита,28630,"Новочеркасский проспект, 39/2",8,
Никита,22557,"Новочеркасский проспект, 39/2",5,
Никита,17641,"Новочеркасский проспект, 43",8,
Никита,21885,"Новочеркасский проспект, 47а",1,
Никита,14979,"Новочеркасский проспект, 47а",8.5,
Никита,19279,"Новочеркасский проспект, 52 к5а",8,
Никита,22209,"Обводного канала набережная, 42",6.5,
Никита,30799,"Обуховской Обороны проспект, 120 лит Ш",9,
Никита,16409,"Обуховской Обороны проспект, 120ш",8,
Никита,10558,"Обуховской Обороны проспект, 75а",6,
Никита,17553,"Одоевского, 27",8,
Никита,13181,"Одоевского, 27",8,
Никита,15597,"Одоевского, 27",9,
Никита,10420,"Одоевского, 33а",7,
Никита,36460,Оптиков 24/42,6,
Никита,22651,"Оранжерейная, 23",8,
Никита,34298,"Орджоникидзе, 22",7.5,
Никита,13320,Остановка Площадь Мужества,8,
Никита,15014,Павловск ,6,
Никита,24557,Павловский вокзал,8,
Никита,12765,Парголовская 9,8,
Никита,19857,Парнас,8,
Никита,11750,"Партизана Германа, 22",6,
Никита,20673,"пересечении проспекта космонавтов и улицы Типанова, рядом со СПАРом",7.5,
Никита,14274,"Пестеля, 27",1,
Руслан Е,9597,Петергоф,7,
Руслан Е,32692,"Петергофское шоссе, 3",8.5,
Руслан Е,21386,"Петергофское шоссе, 45",7.5,
Руслан Е,17541,"Пилютова, 11 к4",7,
Руслан Е,28685,"Пионерская, 21",3,
Руслан Е,12023,"Пионерская, 35",8,
Руслан Е,11930,"Пискарёвка ст, 4",7,
Руслан Е,35580,"Пискарёвский проспект, 20",7,
Руслан Е,11683,"Планерная, 49 к1",8,
Руслан Е,27254,"Планерная, 59",7,
Руслан Е,16754,площадь Мужества ,3,
Руслан Е,24613,Площадь Сенная,3,
Руслан Е,11887,"Политехническая, 20 к2",7,Кафе Шаверма
Руслан Е,24224,"Политехническая, 20 к2",6.5,Кафе Шаверма
Руслан Е,12686,"Политехническая, 28",5.5,
Руслан Е,19803,"Политехническая, 28",6.5,
Руслан Е,34218,"Политехническая, 30",4,
Руслан Е,15552,"Политехническая, 31",1,
Руслан Е,20650,"Политехническая, 31",4,
Руслан Е,19082,"Политехническая, 31",5,
Руслан Е,14527,"пос. Мурино, Привокзальная площадь, 3а",7,
Руслан Е,12854,"пос. Мурино, Привокзальная площадь, 3а",6,
Руслан Е,11328,"пос. Мурино, Привокзальная площадь, 3а",7,
Руслан Е,21361,"пос. Понтонный, ул Александра Товпеко",2,
Руслан Е,28048,"Правды, 12",4.5,
Руслан Е,25827,"Правды, 12",1,
Руслан Е,26039,"Правды, 12",7,
Руслан Е,22452,"Правды, 12",8,
Руслан Е,21300,"Правды, 12",7,
Руслан Е,21777,"Правды, 12",6.5,
Руслан Е,31002,"Правды, 4",3,
Руслан Е,33076,"Пражская ул., 20",8.5,
Руслан Е,17040,"Прибрежная, 20",2,
Руслан Е,23485,"Привокзальная площадь, 1",9.5,
Руслан Е,24502,"Привокзальная площадь, 5",9,
Руслан Е,33365,"Привокзальная площадь, д.3/3",8.5,
Руслан Е,39685,"Приморский проспект 72, ТРЦ Питерлэнд",6.5,
Руслан Е,37748,"Приозерское шоссе, 10 к1",5,
Руслан Е,29086,"Приютинская, 9а",9,
Руслан Е,17353,"Промышленная, 5",7,
Руслан Е,16161,"Просвещения проспект, 15а",9,
Руслан Е,11991,"Просвещения проспект, 19а",4.5,
Руслан Е,36963,"Просвещения проспект, 21г",4,
Руслан Е,27557,"Просвещения проспект, 24",2,
Руслан Е,10279,"Просвещения проспект, 32д",4,
Руслан Е,31784,"Просвещения проспект, 3а",8,
Руслан Е,31193,"Просвещения проспект, 3а",9,
Руслан Е,30080,"Просвещения проспект, 87",8,
Руслан Е,22169,"Просвещения проспект, 87в",8,
Руслан Е,29498,"Просвещения проспект, 87в",7,
Руслан Е,14807,"Просвещения проспект, 88а",6,
Руслан Е,9818,Пушкин,9,
Руслан Е,17012,"Пушкин, Парковая, 26а",8.5,
Руслан Е,22936,"Пушкин, Ул. Парковая 26а",7,
Руслан Е,39574,"Разводная, 29",7.5,
Руслан Е,29907,"Разъезжая, 37",5.5,
Руслан Е,33352,"Разъезжая, 41",2,
Руслан Е,29006,"Решетникова, 12",6,
Руслан Е,26493,"Решетникова, 12",7.5,
Руслан Е,25502,"Решетникова, 12",8,
Руслан Е,23508,"Решетникова, 12",7.4,
Руслан Е,22353,"Решетникова, 12",7.2,
Руслан Е,22038,"Решетникова, 12",7,
Руслан Е,21402,"Решетникова, 12",7,
Руслан Е,36484,"Римского-Корсакова проспект, 103",7,
Руслан Е,31308,"Римского-Корсакова проспект, 103",3,
Руслан Е,21000,"Рихарда Зорге, 6 к2",7,
Руслан Е,35875,"Российский проспект, 10",8.7,
Руслан Е,33527,"Рубинштейна, 11",7.5,
Руслан Е,31345,"Рубинштейна, 4",5,
Руслан Е,24013,"Рубинштейна, 40",7,
Руслан Е,30954,"Рубинштейна, 40/11",7,
Руслан Е,24711,"Савушкина, 10а",4,
Руслан Е,37372,"Садовая, 28/30 к1",8,
Руслан Е,36795,"Садовая, 28/30 к1",8,
Руслан Е,28834,"Садовая, 28/30 к1",8,
Руслан Е,31660,"Садовая, 3",9.5,
Руслан Е,26520,"Садовая, 42",4,
Руслан Е,25887,"Садовая, 42",9,
Руслан Е,23699,"Садовая, 42",2.5,
Руслан Е,38161,"Садовая, 7-9-11",3,
Руслан Е,18182,"Садовая, 7-9-11",8.5,
Руслан Е,30758,"Санкт-Петербургское шоссе, 88",6,
Руслан Е,34451,"Светлановский проспект, 40",7.5,
Руслан Е,30637,"Светлановский проспект, 54д/2",8,
Руслан Е,24571,Сенная площадь,5,
Руслан Е,14826,Сенная площадь,5,
